315, 0
334, 1
354, 1
374, 2
396, 3
416, 4
436, 6
456, 7
477, 9
498, 11
518, 13
538, 16
559, 18
579, 21
600, 24
622, 27
642, 31
662, 34
684, 38
704, 42
724, 46
744, 51
766, 55
787, 60
808, 65
828, 70
850, 74
870, 79
890, 83
911, 87
933, 91
953, 94
974, 98
996, 101
1016, 104
1036, 107
1057, 109
1077, 112
1098, 114
1119, 116
1139, 119
1160, 121
1180, 122
1201, 124
1222, 125
1242, 127
1263, 128
1305, 128
1325, 127
1345, 127
1366, 126
1388, 125
1409, 124
1431, 122
1451, 121
1471, 119
1492, 117
1513, 115
1534, 112
1556, 110
1577, 107
1597, 104
1618, 101
1639, 97
1661, 94
1682, 90
1703, 86
1724, 82
1745, 77
1766, 73
1789, 68
1810, 63
1831, 58
1851, 53
1871, 48
1891, 43
1912, 39
1933, 35
1954, 31
1976, 27
1997, 23
2018, 20
2040, 17
2060, 14
2081, 11
2101, 8
2121, 6
2143, 4
2163, 2
2184, 0
2225, 0
2245, 1
2265, 1
2287, 2
2308, 3
2329, 4
2349, 6
2371, 7
2391, 9
2412, 11
2433, 13
2453, 16
2474, 18
2496, 21
2516, 24
2536, 27
2558, 31
2578, 34
2598, 38
2619, 42
2639, 46
2660, 51
2681, 55
2702, 60
2724, 65
2744, 70
2766, 74
2788, 79
2809, 83
2829, 87
2849, 91
2870, 94
2892, 98
2912, 101
2932, 104
2953, 107
2973, 109
2995, 112
3015, 114
3036, 116
3056, 119
3078, 121
3098, 122
3119, 124
3141, 125
3162, 127
3182, 128
3224, 128
3245, 127
3265, 127
3287, 126
3307, 125
3329, 124
3349, 122
3370, 121
3391, 119
3412, 117
3433, 115
3454, 112
3474, 110
3495, 107
3516, 104
3536, 101
3557, 97
3578, 94
3599, 90
3620, 86
3640, 82
3661, 77
3685, 73
3705, 68
3726, 63
3747, 58
3769, 53
3790, 48
3811, 43
3831, 39
3852, 35
3873, 31
3893, 27
3914, 23
3935, 20
3957, 17
3979, 14
3999, 11
4019, 8
4040, 6
4061, 4
4082, 2
4102, 0
4144, 0
4166, 1
4186, 1
4207, 2
4227, 3
4248, 4
4269, 6
4290, 7
4310, 9
4332, 11
4352, 13
4373, 16
4393, 18
4415, 21
4436, 24
4456, 27
4477, 31
4498, 34
4519, 38
4539, 42
4560, 46
4581, 51
4601, 55
4623, 60
4644, 65
4665, 70
4686, 74
4707, 79
4728, 83
4749, 87
4771, 91
4791, 94
4812, 98
4833, 101
4855, 104
4875, 107
4896, 109
4917, 112
4937, 114
4958, 116
4979, 119
5000, 121
5022, 122
5042, 124
5063, 125
5084, 127
5105, 128
5147, 128
5167, 127
5189, 127
5209, 126
5231, 125
5251, 124
5273, 122
5293, 121
5314, 119
5337, 117
5358, 115
5379, 112
5399, 110
5420, 107
5442, 104
5463, 101
5485, 97
5505, 94
5527, 90
5547, 86
5569, 82
5589, 77
5609, 73
5632, 68
5654, 63
5674, 58
5694, 53
5715, 48
5736, 43
5758, 39
5779, 35
5799, 31
5820, 27
5842, 23
5864, 20
5884, 17
5905, 14
